product_name,old_price,new_price,discount,source
Over Size PR-Architecture White,349.0,244.0,30,sutra
Over Size PR-Maze White,349.0,244.0,30,sutra
Over Size PR-Nefertiti White,499.0,349.0,30,sutra
Over Size PR-Frog White,349.0,244.0,30,sutra
Short Sleeves Printed Shirt 6,449.0,225.0,50,sutra
Leggings Sweatpants White,699.0,489.0,30,sutra
Pocket Leggings Sweatpants White,799.0,559.0,30,sutra
Leggings Sweatpants White,699.0,489.0,30,sutra
SUTRA Casual Shoes Black&White,649.0,325.0,50,sutra
Over Size PR-Cairo White,499.0,349.0,30,sutra
Knitwear Polo Line Collar White,499.0,349.0,30,sutra
SUTRA Casual Shoes White,649.0,325.0,50,sutra
Basic Cookies Shirt White,849.0,594.0,30,sutra
SUTRA Casual Sneakers White&Black,599.0,300.0,50,sutra
SUTRA Casual Shoes White&Gray,649.0,325.0,50,sutra
Milton Basic Sweatpants White,449.0,314.0,30,sutra
Pocket Leggings Sweatpants White,799.0,559.0,30,sutra
SUTRA Casual Shoes-1 White,549.0,275.0,50,sutra
Over Size PR-Palestine Dark Blue,499.0,349.0,30,sutra
Over Size PR-Vibration White,349.0,175.0,50,sutra
Formal Pant - White,666.0,666.0,0,sutra
Boy T-Shirt PR-Pacman Games White,299.0,209.0,30,sutra
SUTRA Casual Sneakers White&Gray,599.0,300.0,50,sutra
Over Size PR-Green Shadows White,349.0,244.0,30,sutra
Basic Slides Beka White,329.0,230.0,30,sutra
Boy T-Shirt PR-Save The Planet White,299.0,209.0,30,sutra
SUTRA Casual Shoes White&Red,649.0,325.0,50,sutra
Slim Fit Polo PR-Folkloric White,499.0,349.0,30,sutra
Kid T-Shirt PR-Symbols White,299.0,209.0,30,sutra
Kid T-Shirt PR-Cool White,299.0,209.0,30,sutra
boy T-Shirt PR-Freeway White,299.0,209.0,30,sutra
Over Size PR-Com Science White,349.0,244.0,30,sutra
Kid T-Shirt PR-Mickey White,299.0,209.0,30,sutra
Boy T-Shirt PR-Two Lines White&Blue,299.0,209.0,30,sutra
boy T-Shirt PR-Boy Pocket White,299.0,209.0,30,sutra
Slim Fit Polo PR-Notebook White,379.0,265.0,30,sutra
Kap-TrackSuit TR White,1099.0,769.0,30,sutra
Over Size PR-Folklore Flower,349.0,244.0,30,sutra
boy T-Shirt PR-Palestine White,299.0,209.0,30,sutra
Kid T-Shirt PR-Lines&Dots White&Blue,299.0,209.0,30,sutra
Kid T-Shirt PR-Fall Lines White&Blue,299.0,209.0,30,sutra
Kid T-Shirt PR-Lines&Dots White&Red,299.0,209.0,30,sutra
Boy T-Shirt PR-Pacman White,299.0,209.0,30,sutra
Summer Milton Patch Lines White,399.0,200.0,50,sutra
Smart Boxer-23-White,129.0,129.0,0,sutra
Boy T-Shirt PR-Moabd White,299.0,209.0,30,sutra
Over Size PR-Fitrah White,349.0,175.0,50,sutra
Over Size PR-Star White,349.0,244.0,30,sutra
Magnetic Shirt White,549.0,275.0,50,sutra
Over Size PR-Waves White,349.0,244.0,30,sutra
Over Size Slides Line Sleeves White,499.0,250.0,50,sutra
Over Size PR-Plastic Art White,349.0,175.0,50,sutra
boy T-Shirt PR-Waves White,299.0,209.0,30,sutra
Short Sleeves Triangle Shirt White,479.0,240.0,50,sutra
Boy T-Shirt PR-Two Lines White&Orange,299.0,209.0,30,sutra
Boy T-Shirt PR-Two Lines White&Green,299.0,209.0,30,sutra
boy T-Shirt PR-Green Shadow White,299.0,209.0,30,sutra
boy T-Shirt PR-Stay Unique Paint White,299.0,209.0,30,sutra
Short Sleeves Printed Shirt 3,449.0,225.0,50,sutra
Short Sleeves Printed Shirt 14,449.0,225.0,50,sutra
Short Sleeves Printed Shirt 13,449.0,225.0,50,sutra
Short Sleeves Printed Shirt 9,449.0,225.0,50,sutra
Short Sleeves Printed Shirt 10,449.0,225.0,50,sutra
Heavy Two Color T-Shirt Moabd WhiteXBlack,499.0,349.0,30,sutra
SUTRA Perfumes Sexy Night,699.0,559.0,20,sutra
OVER SIZE PR-SUTRA Havan,499.0,349.0,30,sutra
